Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,1.7940150741096976,0.18086040019989014,1.7977145195007325,0.1794871836900711
2,1.7420342402024702,0.22036874294281006,1.7167577981948852,0.25641027092933655
3,1.7315483059916463,0.20280948281288147,1.748799991607666,0.1794871836900711
4,1.7050718677627457,0.2633889317512512,1.7479261875152587,0.1794871836900711
5,1.629641494550905,0.3283582031726837,1.727099108695984,0.1794871836900711
6,1.5771228916995175,0.3836698830127716,1.6453759670257568,0.28205129504203796
7,1.523219526230872,0.4038630425930023,1.601614236831665,0.3589743673801422
8,1.474925831898109,0.46268656849861145,1.529206895828247,0.28205129504203796
9,1.4133524344517634,0.4653204679489136,1.5570866823196412,0.3589743673801422
10,1.3492974472212624,0.5013169646263123,1.471985363960266,0.41025641560554504
11,1.306606671193263,0.5127304792404175,1.5046075344085694,0.38461539149284363
12,1.2750387037550652,0.5311676859855652,1.4142799139022828,0.43589743971824646
13,1.1802804061582872,0.5961369872093201,1.3206431031227113,0.4871794879436493
14,1.063535861618869,0.6251097321510315,1.2245139598846435,0.4871794879436493
15,0.9887895000564468,0.6532045602798462,1.1669555068016053,0.4871794879436493
16,0.87803976081468,0.6953467726707458,1.1340234398841857,0.4871794879436493
17,0.8046474704792449,0.7111501097679138,1.2380517244338989,0.4871794879436493
18,0.7588330742779311,0.7111501097679138,1.1207245111465454,0.5384615659713745
19,0.7235909952567174,0.7102721929550171,1.0119351506233216,0.5384615659713745
20,0.7223924981964218,0.6927129030227661,1.1068156123161317,0.5128205418586731
21,0.6278188437015026,0.757682204246521,0.9612985253334045,0.5128205418586731
22,0.6137682855962874,0.754170298576355,1.2078739881515503,0.4615384638309479
23,0.5531062789626054,0.7664617896080017,0.9320056438446045,0.5384615659713745
24,0.5327735157696517,0.7805092334747314,0.9640477895736694,0.4871794879436493
25,0.5567315851266568,0.7647058963775635,1.0198420763015748,0.5384615659713745
26,0.5502419672854297,0.7594380974769592,1.2141383409500122,0.4871794879436493
27,0.530702954718283,0.7726075649261475,1.0635353446006774,0.5384615659713745
28,0.5246964982756368,0.773485541343689,0.9626504302024841,0.6153846383094788
29,0.5116246427064175,0.7919227480888367,1.1026804447174072,0.4615384638309479
30,0.503595781805632,0.7787532806396484,0.9572885274887085,0.5128205418586731
31,0.4573156575222949,0.7954345941543579,1.1417506098747254,0.5641025900840759
32,0.5544224576308177,0.746268630027771,1.0395259976387023,0.5128205418586731
33,0.47646141906718276,0.7989464402198792,1.1819318890571595,0.4871794879436493
