Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,1.7651147272275842,0.1910112351179123,1.7331122159957886,0.28205129504203796
2,1.7069798241490903,0.26404494047164917,1.6877484798431397,0.3076923191547394
3,1.683728119601374,0.2977527976036072,1.6799754858016969,0.3076923191547394
4,1.6729038228159365,0.30337077379226685,1.6615180253982544,0.3076923191547394
5,1.6426295508509097,0.2977527976036072,1.6446357488632202,0.3076923191547394
6,1.5704715122347292,0.2977527976036072,1.6679123520851136,0.3076923191547394
7,1.6934564269107322,0.28651684522628784,1.692765712738037,0.3076923191547394
8,1.6439819750578508,0.2921348214149475,1.5431406021118164,0.3076923191547394
9,1.4247197327406511,0.31460675597190857,1.4707501530647278,0.3076923191547394
10,1.36831315704014,0.3820224702358246,1.5460230112075806,0.3076923191547394
11,1.3293812300847925,0.4325842559337616,1.5038468837738037,0.3333333432674408
12,1.597772945528445,0.30337077379226685,1.7707048177719116,0.20512820780277252
13,1.6838529472765715,0.25280898809432983,1.739554238319397,0.20512820780277252
14,1.6575751149136086,0.24719101190567017,1.713309121131897,0.23076923191547394
15,1.628267614737801,0.25280898809432983,1.7024746417999268,0.23076923191547394
16,1.6284498650094736,0.25280898809432983,1.6955719232559203,0.23076923191547394
17,1.6322709477466086,0.24719101190567017,1.6830750465393067,0.25641027092933655
18,1.6039031433022541,0.28651684522628784,1.674718475341797,0.28205129504203796
19,1.6015675793523374,0.3089887499809265,1.6663116455078124,0.3076923191547394
